Previous_Semester_GPA,Midterm_Score_Average,Assignment_Score_Average,Twelfth_Grade_Percentage,Study_Hours_Per_Day,Tenth_Grade_Percentage,Attendance_Percentage,Number_of_Backlogs,Mental_Stress_Score,Distance_From_Campus_KM,CGPA
7.67,72.5,76.96,68.51,5.83,87.4,100,0,10,3.16,7.58
6.53,76.31,75.1,86.99,8.27,83.12,87.13,0,2,7.24,6.87
5.55,52.57,56.22,86.88,3.56,85.93,73.3,0,10,7.72,5.63
7.44,82.66,67.03,88.78,9.7,69.18,81.57,0,2,4.5,7.52
8.66,62.59,70.05,91.05,0.71,86.17,67.03,0,1,9.49,6.67
6.42,67.83,65.83,78.28,3.48,91.44,95.77,0,9,2.07,6.63
7.68,75.16,68.26,84.55,4.87,89.15,88.86,0,4,0.94,6.86
9.31,74.41,70.78,79.55,0.5,88.94,84.94,2,2,8.26,7.67
7.39,69.83,77.64,83.26,7.54,73.12,89.57,0,6,0.12,7.08
7.6,58.46,68.34,77.7,3.12,87.45,70.98,0,5,5.8,6.28
7.57,67.03,75.85,93.6,4.57,100,80.72,0,8,5.08,6.87
6.68,63.37,68.44,70.95,5.4,91.14,96.77,0,2,24.86,6.62
6.31,60.99,63.01,90.44,1.32,97.32,71.53,2,7,12.82,5.64
6.31,82.7,77.99,88.78,9.36,94.37,95.33,2,1,0.78,6.58
7.94,75.19,70.68,76.71,4.77,85.81,82.25,0,2,3.94,7.16
8.41,66.93,77.71,89.53,3.82,92.15,70.94,2,7,7.58,6.92
8.47,71.3,77.32,92.12,2.28,72.63,88.33,0,10,4.07,7.56
7.05,64.71,70.18,91.19,4.91,87.95,99.97,0,4,13.27,6.78
8.81,65.56,73.65,78.11,1.35,77.58,79.92,0,6,0.75,7.28
7.87,72.14,81.31,70.5,4.78,89.08,93.29,0,1,2.65,6.96
7.58,80.39,77.68,91.59,7.29,80.8,91.67,0,7,10.59,7.32
4,49.93,52.76,74,6.83,91.21,83.09,0,5,2.85,5.09
6.52,65.92,70.1,79.41,3.39,87,94.38,0,6,13.23,5.89
5.67,58.77,61.11,74.52,3.94,100,90.94,1,3,2.2,5.42
8.25,67.13,76.73,83.11,5.58,96.49,69.77,0,8,3.2,6.98
7.61,77.31,67,84.1,6.86,100,72.99,0,9,13.89,7
6.21,68.85,64.53,65.2,7.57,74.1,83.31,0,2,5.76,6.06
7.87,73.02,81.98,92.31,7.76,90.66,95.45,1,5,2.84,7.77
5.79,57.72,60.76,86.62,2.63,87.25,82.37,1,10,1.22,5.57
6.25,67.26,71.56,87.71,6.01,98.36,100,2,6,12.38,6.2
6.65,59.41,66.92,85.23,1.73,82.83,94.54,0,10,16.33,5.8
8.15,64.25,67.41,89.1,3.57,77.83,79.82,0,4,11.08,6.87
9.18,71.42,70.77,89.1,2.15,68.83,67.79,0,3,1.32,7.79
6.8,60.51,69.69,83.12,2.19,92.97,84.23,1,5,14.59,6.06
9.09,84.2,80.5,98.1,4.98,75.98,87.18,3,6,0.23,7.77
7.56,64.92,62.4,84.01,3.12,93.39,88.35,0,10,3.43,6.79
7.78,71.06,75.95,78.77,5.07,83.8,89.53,1,8,6.12,6.79
7.42,71.28,70.25,90.97,2.08,88.95,78.71,0,2,1.68,6.53
7.26,69.71,68.76,100,5.47,73.09,96.58,2,9,9.52,6.62
8.03,57.79,68.51,82.25,3.64,89.3,74.96,0,10,2.23,7
8.39,76.18,83.5,79.74,3.92,89.97,97.01,0,3,11.06,7.95
6.44,50.61,55.81,73.27,1.9,76.22,75.41,1,6,13.4,5.41
7.27,75.33,79.58,84.12,6.54,95.97,86.29,0,10,6.69,7.09
9.5,88.21,88.69,75.86,4.78,81.23,91.77,0,5,10.44,8.44
7.71,80.8,75.02,88.79,5.58,87.8,89.7,0,7,2.98,7.5
7.84,70.29,74.36,82.89,1.95,87.1,75.65,0,1,14.66,7.23
8.9,75.26,79.92,69.65,5.85,82.21,75.17,0,4,30.75,7.78
6.9,57.24,67.55,83.34,4.58,87.93,70.39,0,5,9,6.33
7.46,64.87,63.34,78.81,3.51,88.07,72.06,2,10,3.05,6.5
8.48,82.53,82.66,91.27,7.25,86.54,70.84,0,5,16.53,7.31
8.99,83.22,84.96,83.49,5.32,77.5,97.88,0,7,6.56,8.16
4.66,55.19,58.31,79.88,5.41,83.67,100,3,8,4.98,4.67
6.62,63.41,62.06,94.26,0.57,81.52,89.62,2,2,8.48,6.07
6.3,54.24,64.75,78.06,6.66,84.05,90.76,0,9,1.59,6.14
7.35,64.12,63.7,82.93,5.4,89.51,92.16,0,6,6.49,7
6.39,76.59,62.22,80.5,6.98,81.23,82.77,0,9,7.45,6.31
8.3,73.13,69.6,99.63,3.31,87.05,79.26,0,9,3.01,7.13
7.71,61.06,70.81,77.42,3.07,87.82,83.22,3,5,32.89,6.58
8.57,76.41,84.64,88.75,7.73,78.5,67.7,0,7,5.13,7.42
8.64,83.53,87.02,76.85,6.42,85.53,85.6,3,9,13.73,7.52
8.31,66.84,77.18,69.81,1.64,79.66,100,0,10,2.02,7.28
7.1,62.74,69.42,66.55,4.53,94.91,83.3,2,8,20.83,5.92
7.63,78.76,78.48,70.25,6.55,91.28,80.94,0,9,17.27,7.06
6.95,74.71,65.98,83.39,4.86,77.91,90.91,1,1,30.08,6.75
5.86,55.96,56.93,86.57,3.4,79.89,79.24,1,2,21.62,5.47
8.64,67.97,72.03,91.28,3.16,89.76,73.76,1,10,8.89,7.04
7.4,66.81,72.3,83.86,4.63,92.71,76.44,0,8,0.56,6.61
5.7,66.12,67.08,82.82,6.54,82.07,99.2,1,7,10.92,6.2
8.14,67.62,69.51,100,2.51,89.23,80.26,3,3,9.38,6.81
7.23,63.14,60.2,74.13,0.5,76.54,71.28,1,4,3.31,6.03
5.03,56.85,57.11,83.83,3.69,89.66,91.88,4,7,9.82,4.77
5.85,60.33,55,88.72,5.4,85.87,87.91,1,10,2.03,6.05
6.66,67.21,64.25,100,5.84,70.24,77.98,0,1,0.21,6.67
7.75,68.66,68.72,80.2,2.47,92.07,90.18,0,7,0.48,7.18
8.45,69.81,83.3,79.67,5.04,77.37,92.07,0,8,3.29,7.67
8.4,71.27,69.79,81.45,3.22,97.72,73.19,0,8,13.93,7.32
8.22,81.99,81.02,86.98,5.97,85.57,94.79,0,1,9.32,7.75
7.46,65.94,66.37,99.94,4.24,99.19,81.92,1,10,6.77,6.6
9.57,85.23,80.4,85.71,6.18,90.27,68.44,0,6,2.58,8.43
8.34,72.24,64.76,81.36,4.63,87.62,69.08,1,8,3.22,6.96
7.77,70.97,75.85,81.05,5.5,80.45,78.16,0,9,15.3,7.24
8.18,63.88,72.1,87.16,3.61,84.82,87.61,4,10,1.41,6.18
7.02,65.76,75.08,94.49,3.08,92.62,92.46,2,1,12.04,6.37
7.43,67.71,64.93,80.01,3.93,99.83,82.48,0,5,1.38,6.54
5,48.5,59.63,88.52,5.73,93.3,67.99,0,8,14.12,5.37
7.04,79.94,86.29,88.81,9.55,100,97.27,0,10,2.34,7.43
9.61,91.07,83.09,89.96,7.02,71.02,97.41,0,2,5.58,8.69
7.68,75.94,81.45,78.31,7.54,99.46,87.3,0,9,15.7,7.13
7.63,68.27,75.57,100,4.29,68.04,80.31,2,5,3.06,6.66
8.7,73.56,81.91,95.62,3.43,72.13,81.23,1,3,8.81,7.46
7.93,64.06,57.55,88.36,0.5,87.69,66.1,1,5,0.92,6.41
6.56,60.44,65.83,88.11,3.3,83.45,80.83,1,4,2.25,6.03
7.53,63.27,65.67,86.96,1.74,78.12,71.34,0,10,2.25,6.26
6.14,61.07,68.84,96.16,6.04,99.04,87.54,0,8,4.1,6.16
7.72,69.37,73.31,100,4.11,86.93,77.96,1,7,13.67,6.93
6.49,54.71,64.32,94.27,1.86,96.57,100,0,6,0.76,6.14
8.61,75.95,83.32,90.15,5.59,100,98.78,0,3,2.55,8.05
6.89,64.23,68.54,83.05,5.13,86.84,74.41,0,9,3.09,6.21
6.51,48.51,56.42,90.76,2.23,86.12,78.93,0,7,3.68,5.84
7.36,68.39,75.74,66.77,7.53,97.12,87.98,0,8,11.61,6.81
7.94,76.93,68.32,71.37,2.99,98.97,88.44,0,4,10.95,7.04
6.05,66.41,69.16,88.23,5.69,93.68,92.77,0,5,8.01,6.6
6.87,60.34,67.31,84.38,4.25,84.89,84.32,0,2,3.22,6.37
7.63,77.09,79.3,84.15,7.79,92.68,63.88,1,8,3.43,7.21
9.11,81.34,85.3,91.09,6.34,86.98,81.08,0,5,16.63,8.26
4.47,52.46,51.34,77.94,2.3,85.75,81.41,1,2,1.4,4.52
8.24,78.94,79.54,73.07,8.14,82.09,86.63,3,6,16.98,7.2
7.04,57.91,61.15,88.56,1.97,95.24,94.05,0,8,0.17,6.53
6.91,63.82,69.01,81.41,2.38,82.09,94.9,0,6,0.79,6.34
6.68,76.27,71.63,88.62,7.75,98.01,90,0,2,7.27,7.17
7.06,74.44,68.44,83.1,4.44,79.05,82.79,0,6,7.84,6.53
8.24,76.12,74.01,76.18,5.12,95.03,86.72,0,7,3.26,7.31
6.86,60.29,69.3,81.92,5.35,89.35,78.2,0,9,0.76,6.21
9.49,77.49,82.64,80.76,2.35,85.77,96.59,0,2,8.94,7.7
8.25,74.7,76.96,93.75,8.26,95.41,81.06,0,1,28.22,7.76
7.74,70.26,83.01,85.2,8.89,94.27,84.6,0,8,4.5,7.34
7.3,58.04,58.49,91.83,0.76,89.52,66.14,0,4,7.16,5.67
8.93,75.86,82.47,93.94,3.6,87.17,82.88,1,4,9.93,7.38
9.1,87.99,85.63,75.51,5.86,91.85,95.71,0,3,2.42,8.37
6.11,57.73,53.79,87.9,4.28,100,84.45,0,5,4.91,6.18
6.66,65.07,60.97,93.01,3.41,100,80.31,0,3,6.56,6.23
8.26,88.04,81.66,83.31,5.62,87.88,100,0,5,12.66,8.26
8.62,74.64,72.23,86.44,5.82,82.06,74.7,0,7,9.68,7.12
7.14,69.17,68.47,73.9,7.88,91.18,76.22,0,4,7.77,6.99
6.61,58.9,56.5,87.56,1.03,94,70.23,2,3,1.27,5.92
7.59,66.52,73.46,75.33,2.48,93.14,98.01,0,1,1.75,6.91
9.27,74.68,76.78,82.52,2.99,100,66.68,2,3,23.85,7.26
7.55,77.22,85.08,83.97,9.29,95.83,83.51,4,7,16.83,6.43
5.98,68.67,65.17,93.36,7.52,93.38,80.46,2,6,0.14,6.2
7.63,70.62,73.23,86.47,5.05,91.65,85.33,4,10,12.71,6.4
8.44,76.66,77.66,92.77,4.33,78.28,97.02,2,7,15.27,7.5
7.38,73.27,70.87,92.44,5.38,85.41,81.01,1,9,0.11,6.42
9.01,84.19,82.74,81.26,6.85,83.21,81.39,0,10,9.98,8.06
8.54,66.54,73.75,98.78,3.99,84.11,71.44,0,2,32.05,7.49
7.43,67.53,77.6,81.69,5.05,100,89.78,0,9,23.18,6.94
7.55,73.84,68.12,82.1,3.83,81.87,84.58,1,4,5.95,6.93
5.29,41.44,55.01,80.72,1.71,99.9,85.66,0,3,4.15,5.35
8.95,70.27,78.19,66.15,0.92,92.14,97.76,2,8,9.04,7.02
7.1,58.14,54.07,93.59,3.12,70.11,87.64,0,1,10.09,6.52
7.02,53.75,69.62,78.8,3.75,82.61,71.11,0,9,11.46,5.84
6.84,59.22,65.2,75.09,5.37,90.14,77.63,0,8,0.08,6.64
8.05,79.99,81.22,71.08,5.04,84.2,100,3,7,1.6,7.36
6.15,64.82,59.01,74.85,1.72,81.35,94.05,0,4,2.02,5.88
6.32,57.68,69.3,91.34,4.52,86.67,78.96,2,7,12.64,5.6
7.44,68.93,65.07,79.18,3.41,87.26,74.59,1,3,9.71,6.09
6.75,61.08,69.12,92.36,4,85.13,68.28,3,4,7.77,5.89
7.9,62.63,69.37,83.75,4.66,73.29,91.66,0,5,3.19,7.08
6.79,66.6,68.51,93.95,7.06,75.38,82.31,2,5,11.17,6.36
9.41,79.95,76.57,93.34,3.58,82.45,79.18,0,10,5.36,8.03
8.33,86.01,89.91,81.49,7.86,92.47,86.75,0,2,0.97,7.49
8.32,79.23,76.61,93.67,1.9,94.64,92.73,1,6,8.8,7.27
6.77,65.38,55.14,83.87,2.75,97.6,74.94,1,9,4.98,5.76
10,83.7,85.85,72.07,4.31,96.81,100,0,10,11.68,8.64
6.97,64.43,63.77,89.07,2.16,95.55,73.14,2,4,5.9,6.13
6.64,63.3,66.32,78.28,1.86,97.95,88.79,3,2,23.5,5.94
8.35,70.18,81,68.76,4.65,84.27,81.48,0,4,9.99,7.24
7.73,69.76,72.32,93.85,1.85,89.49,85.27,0,5,7.58,7.27
6.52,65.28,62.84,82.73,2.58,84.31,100,3,10,7.51,5.81
10,82.76,90.37,77.76,4.34,93.51,95.56,0,10,1.02,8.29
8.67,76.57,70.55,74.43,7.91,95.83,67.4,0,10,11.33,7.26
7.5,64.46,69.31,85.9,4.12,82.91,83.99,1,7,6.48,6.5
10,83.51,87.49,93.12,4.76,91.33,74.86,0,4,5.65,8.66
8.47,69.57,70.46,86.56,2.2,92.7,77.93,0,10,5.68,6.87
7.49,55.93,59.82,92.21,2.4,90.65,70.85,0,10,7.61,6.26
10,81.2,82.24,72.87,0.5,92.28,70.44,0,8,0.86,8.06
8.29,79.13,77.75,81.91,2.53,99.96,89.54,2,6,3.23,7.08
8.24,80.03,83.67,77.74,6.03,79.64,90.98,0,7,14.84,7.48
7.04,65.09,64.13,72.64,3.35,80.72,82.04,0,4,10.12,6.12
7.56,66.21,66.67,77.67,4.8,79.42,80.63,0,7,21.8,6.68
7.01,67.11,63.73,85.59,4.95,85.17,89.8,2,10,8.32,6.24
9.23,75.62,83.66,78.95,5.97,89.09,76.42,1,4,19.26,7.77
5.57,54.22,56.76,78.32,7.82,83.2,61,0,3,2.97,5.88
9.14,81.41,81.02,89.08,5.71,94.66,96.78,4,6,1.72,7.9
6.45,56.28,70.41,100,4.02,81.84,93.07,0,6,5.73,5.89
7.43,71.16,78.45,77.35,6.09,86.82,85.69,0,8,3.51,7.05
7.15,75.87,73.31,91.22,5.11,93.3,92.86,0,2,6.97,7.35
6.88,58.97,61.34,79.94,0.5,90.79,91.38,0,1,5.16,6.18
8.33,62.1,77.53,100,2.1,81.62,89.17,0,7,1.08,7.29
7.49,70.64,67.46,90.48,4.05,83.27,96.42,0,5,11.22,7.21
6.7,56.25,58.11,75.12,3.33,86.46,72.04,0,5,0.02,5.97
7.68,70.16,69.1,98.24,4.25,87.42,74.33,0,3,38.59,6.83
6.66,48.32,60.14,94.95,0.5,87.71,92.41,0,1,16.89,5.9
6.85,69.33,66.43,91.27,6.18,99.67,86.99,4,10,14.9,5.88
5.7,55.38,53.75,88.87,4.4,88.08,89.19,0,7,0.25,5.53
6.96,59.22,73.25,93.22,6.93,88.57,88.86,5,5,42.61,5.99
8.09,77.44,79.66,79.62,4.55,78.34,100,0,3,18.04,7.36
7.54,62.48,65.39,80.23,4.9,68.59,77.69,0,3,27.26,6.31
9.68,78.63,78.62,79.3,2.43,91.31,95.86,1,6,11.81,7.76
10,86.19,76.01,92.76,2.09,83.75,75.83,0,8,1.04,8.42
6.94,63.01,63.06,82.83,4.77,91.84,77.58,1,8,20.77,6.2
6.5,55.24,64.04,73.56,4.5,93.86,71.13,0,4,7.58,5.71
8.86,72.68,78.29,93.04,1.22,91.62,93.65,1,10,2.73,7.56
7.9,78.67,73.5,88.59,6.38,91.55,74.83,0,7,1.2,7.5
8.86,78.05,78.43,81.11,4.6,93.44,78.77,0,5,18.85,7.59
7.98,67.96,77.88,88.66,3.49,100,100,1,3,21.15,7.22
7.27,64.94,67.19,100,2.76,86.62,67.12,0,9,6.91,6.18
7.27,74.33,73.61,94.72,6.01,85.48,84.91,0,10,12.96,7
8.02,67.59,81.23,82.2,3.11,77.01,89.53,0,4,29.85,7.2
7.25,87.5,70.44,69.29,4.97,93.04,86.21,0,3,13.73,7.45
8.96,76.71,85.15,85.76,4.16,92.47,100,1,8,11.37,8.06
5.94,56.58,56.85,86.98,3.44,89,82.05,0,3,8.65,5.83
8.96,78.73,73.01,70.04,1.9,96.38,92.01,1,4,10.52,7.34
5.25,53.24,62.57,77.43,7.1,88.41,73.82,0,4,23.28,5.42
7.67,71.14,65,77.19,2.49,82.16,95.92,0,5,2.05,7.1
7.1,66.52,65.71,78.74,2.78,100,79.22,5,9,6.94,5.45
5.68,66.38,68.14,98.21,7.18,82.48,94.13,0,2,2.03,6.56
5.03,59.58,51.89,66.06,4.3,82.59,87.91,0,3,7.52,5.75
6.18,59.28,72.77,91.28,5.14,82.21,92.38,0,8,1.16,5.96
7.55,74.24,79.58,90.03,7.53,92.56,77.16,0,5,0.76,7.99
6.78,66.72,69.29,100,7.48,95.55,74.13,0,9,9.11,6.7
6.25,66.72,68.68,100,3.4,100,77.79,0,1,4.89,6.25
9.12,85.74,86.6,82.15,6.8,96.55,89.43,0,4,9.71,8.04
6.02,53.33,60.08,85.52,1.29,73.4,78.12,0,4,19.04,5.78
8.31,70.14,73.15,94.31,0.98,85.71,87.54,0,3,11.74,7.32
6.43,70.72,66.32,85.3,4.59,90.07,90.78,4,7,10.33,6
6.15,51.77,67.09,77.26,4.33,91.39,65.54,0,6,27.77,5.33
6.78,67.99,69.51,100,5.8,77.43,82.32,1,8,8.32,6.7
8.24,72.01,71.42,80.65,5.59,65.37,78.83,1,3,6.41,7.12
5.85,63.03,69.28,84.55,5.88,67.46,93.32,0,10,4.58,6.21
7.84,82.31,80.42,99.65,7.7,100,100,1,9,2.3,7.57
6.35,67.46,72.78,78.88,8.43,95.65,81.08,2,2,0.24,6.11
6.56,75.02,72.27,87.28,6.26,85.97,100,0,7,2.34,6.79
7.98,66.74,77.34,90.01,4.46,80.58,89.14,0,6,2.28,7.2
10,75.33,87.78,95.85,4.09,80.86,79.89,0,10,1.9,8.14
6.41,58.53,73.89,88.8,4.47,83.54,85.38,0,10,6.6,6.2
8.36,68.2,76.29,71.97,3.35,88.15,84.26,0,2,8.13,7.13
7.12,63.83,72.73,88.99,6.35,90.79,94.25,4,8,16.12,6.24
6.93,62.64,69.27,75.01,6.58,90.49,65.88,2,9,23.12,6.27
8.79,65.81,84.02,85.33,3.23,88.58,87.17,0,9,24.5,7.58
6.49,66.89,68.54,79.16,4.17,83.83,98.83,1,4,4.67,6.07
6.12,54.09,59.55,82.45,0.96,87.28,92,2,9,17.83,5.77
8.05,73.84,73.94,94.7,4.32,97.29,85.22,0,5,3.36,7.23
9.41,80,87.83,75.48,4.58,75.98,88.51,0,6,7.22,8.41
8.4,71.86,68.98,100,2.29,100,81.78,0,10,15.27,7.22
5.81,62.04,63.43,91.32,3.44,77.37,85.58,0,7,6.69,6
6.76,67.93,63.78,93.05,2.19,76.62,90.81,0,9,0.07,6.51
8.68,67.73,66.76,75.92,1.35,92.61,82.38,3,9,9.92,6.66
9.4,86.95,83.82,76.6,7.46,88.54,71.38,0,8,12.1,7.84
7.77,73.15,65.82,83.82,1.36,91.44,69.43,0,9,8.99,6.5
6.8,71,66.81,91.14,4.73,93.55,90.19,0,9,1.05,6.51
9.48,81.71,90.89,73.43,6.45,86.08,86.15,1,4,2.03,8.1
7.41,81.22,81.47,76.66,7.34,91.06,93.38,0,10,11.11,7.16
6.77,59.26,62.25,95.97,2.38,85.08,77.33,0,1,60,6.7
6.57,58.28,70.85,96.96,7.06,100,73.91,0,7,1.27,6.32
6.07,57.09,70.37,82.11,4.82,84.48,93.1,0,7,1.79,5.96
10,84.43,83.8,87.44,5.65,93.15,88.05,3,7,3.03,8.01
9.21,87.29,87.67,71.01,8.02,79.01,80.94,0,7,0.28,8.54
6.71,67.95,71.6,81.83,5.72,100,83.66,0,6,0.54,6.52
9.58,77.19,78.93,70.14,2.64,87.81,77.2,0,6,18.02,7.67
8.14,78.12,66.76,82.73,0.5,82.6,93.13,1,5,0.3,6.91
8.07,76.72,77.42,96.19,5.78,80,87.02,0,5,27.31,7.5
6.64,57.5,64.87,94.5,5.31,95.77,86.27,1,1,2.65,6.35
6.88,73.74,64.6,78.86,2.91,81.16,92.06,0,5,5.58,6.53
7.45,58.39,65.01,80.72,4.87,73.52,79.08,0,1,14.96,6.54
5.14,54.48,56.43,95.39,1.79,92.22,100,0,1,4.53,5.48
6.92,67.29,68.32,76.9,5.22,87.16,72.39,0,8,27.46,6.47
7.51,68.74,63.31,73.4,1.82,84.97,82.73,3,6,6.62,6.03
9.07,88.61,89.19,76.49,6.92,96.15,100,0,3,2.82,8.22
6.76,81.94,72.75,97.89,8.7,82.59,85.05,0,1,0.21,7.33
8.47,74.41,77.95,79.87,5.08,93.89,82.3,0,8,2.91,7.43
5.03,43.69,61.69,89.48,5.28,83.12,84.87,4,3,23.24,4.8
8.9,91.12,83.59,87.3,5.68,88.21,96.6,0,4,7.99,8.04
6.42,60.59,66.21,100,5.05,95.95,78.68,1,7,14.43,5.83
7.66,57.14,65.61,89.15,2.31,91.25,80.8,2,1,17.01,6.39
7.99,71.38,78.52,91.45,7.33,92.15,92.18,0,7,2.38,7.2
7.75,72.67,75.2,84.98,5.4,89.31,81.88,0,6,11.88,6.97
7.37,74.5,69.9,74.18,5.62,94.19,74.35,0,4,5.06,6.93
6.01,57.85,69.05,80.95,6.52,90.06,84.56,0,2,0.3,6.08
6.43,62.97,63.22,74.31,6.43,91.41,75.66,0,4,4.51,6.36
8.7,80.65,80.2,95,6.97,82.79,85.83,0,1,6.41,8.06
6.78,72.31,65.12,85.97,5.41,85.31,81.41,0,5,6.13,6.69
7.38,58.13,65.96,75.39,2.78,90.2,83.83,2,4,7.59,6.13
5.71,48.6,66.44,74.97,5.33,91.89,78.8,0,6,11.69,5.86
8.53,69.96,78.96,96.25,4.45,97.48,93.05,0,7,0.86,7.74
5.92,61.04,58.98,93.41,2.75,91.93,87.8,1,10,5.64,5.92
8.6,77.17,86.62,91.15,7.4,93.98,83.76,1,4,0.73,7.86
6.22,63.2,51.38,72.9,4.2,95.58,78.8,0,2,5.11,5.91
8.72,81.43,81.21,76.32,4.96,100,80.7,1,7,1.58,7.39
7.51,67.35,65.43,90.01,3.04,89.65,81.31,0,8,27.89,6.9
6.83,56.06,60.59,87.91,4.39,83.43,81.94,2,10,29.7,5.84
9.42,85.24,83.28,95.7,6.36,82.4,91.78,0,9,6.21,8.29
7.42,73.53,78.78,73.05,8.59,86.74,76.63,0,10,16.33,7.14
7.07,54.25,63.7,75.62,1.58,87.04,83.6,0,10,0.17,6.39
8.59,75.41,75.31,73.47,4.54,100,83.86,0,1,0.08,7.72
5.72,54.83,55.58,80.05,0.5,76.84,93.49,0,5,1.47,5.63
4.47,53.96,50.44,99.89,3.64,79.99,95.04,0,9,20.98,5.29
8.89,79.57,83.02,89.66,4.73,84.34,89.71,0,4,7.82,7.97
6.5,71.99,66.18,73.08,4.83,92.36,95.59,0,7,4.7,6.65
8.54,78.84,79.97,72.86,7.78,77.97,90.83,0,5,32.28,7.71
7.56,70.14,75.53,80.73,4.05,83.28,85.66,0,9,1.23,6.85
6.1,66.54,74.67,78.62,7.62,89.82,100,2,2,0.31,6.23
8.23,83.19,77.88,94.56,4.99,88.34,79.72,2,2,0.39,7.31
7.01,73.76,63.47,90.27,3.48,82.05,90.66,0,6,1.56,6.35
6.21,54.04,67.77,88.21,4.88,90.48,79.2,0,1,0.56,5.83
6.24,67.42,58.72,77.32,4.76,89.27,75.31,0,6,11.05,6.32
5.42,60.05,60.15,87.47,4.9,85.91,96.54,2,6,7.76,5.53
7.98,70.41,72.71,88.89,3.1,86.95,85.31,0,9,23.04,7.21
6.38,60.19,67.61,92.32,3.08,87.75,100,0,6,28.63,6.61
7.46,76.56,86.16,100,6.77,64.84,96.8,2,5,0.4,7.02
7.28,71.97,80.15,91.89,6.61,80.29,87.04,0,5,1.81,7.1
6.37,57.98,64.58,73.25,2.84,80.7,86.13,0,1,3.98,6.04
5.67,55.3,61.69,94.28,4.23,92.63,100,0,7,7.77,6.04
10,91.26,83.69,84.09,5.27,93.43,85.59,0,5,27.8,8.72
7.44,65.1,76.08,86.5,6.13,100,64.38,0,6,5.06,6.84
9.69,86.96,93.17,95.97,4.88,88.54,97.78,0,8,9.94,8.71
8.9,78.23,84.85,99.11,6.81,80.57,94.01,1,10,30.11,8.11
7.11,75.34,75.3,94.66,4.34,85.66,90.09,0,8,2.03,6.84
7.72,77.78,77.52,82.4,7.59,97.23,84.78,0,6,0.6,7.65
7.68,81.04,81.92,81.62,9.6,69.42,85.01,0,6,3.35,7.63
9.71,78.71,87.11,99.98,4.65,80.62,87.8,1,8,4.09,8.26
8.5,71.39,72.16,63.92,5.25,82.51,85.45,1,3,13.94,7.19
6.53,52.05,61.12,87.5,2.62,100,95.73,0,5,19.88,6.12
7.92,79.13,73.58,69.99,4.16,98.88,98.63,2,4,10.74,7.3
8.47,70.95,73.73,92.33,4.86,96.32,75.81,0,7,0.76,7.55
6.09,65.56,60.4,93.2,5.9,96.49,89.01,0,8,3.19,6.31
8.09,66.22,73.09,100,4.09,82.39,71.75,0,3,28.17,6.64
9.11,85.86,84.23,89.52,5.99,91.75,98.95,0,3,28.96,8.58
6.47,67.66,64.82,80.64,3.75,97.27,80.6,1,5,2.79,6.2
6.64,70.32,73.6,98.34,6.52,88.1,85.82,1,2,0.77,6.37
8.89,74.13,93.13,79.67,5.33,92.78,95.89,0,3,13.54,7.8
7.07,58.98,72.89,88.83,5.24,94.09,77.19,0,1,5.92,6.72
6.32,66.58,62.73,100,3.58,70.08,86.8,0,9,12.74,6.31
8.56,72.19,74.93,80.62,4.33,88.19,73.45,1,3,4.38,7.44
8.19,73.76,74.34,94.39,3.75,90.14,85.83,0,10,6.78,7.12
7.61,71.59,75.01,79.6,6.24,87.19,87.88,0,7,12.28,7.25
8.85,75.36,65.91,75.5,1.79,95.35,63.64,4,2,9.82,7.05
8.93,72.66,78.75,88.53,3.09,89.45,92.12,0,4,2.99,7.78
7.4,72.82,80.69,84.06,6.91,90.91,73.95,1,10,18.19,6.57
9.87,79.55,86.03,78.39,4.88,89.09,81.4,5,3,20.95,7.49
9.4,86.61,94.04,80.52,6.95,95.29,82.44,0,6,20.82,8.26
5.12,59.88,64.87,98.96,6.16,94.96,72.02,0,3,6.22,5.7
6.26,68.18,68.48,85.79,6.37,86.7,88.54,0,7,0.11,6.12
4.79,44.52,58.31,91.34,5.34,82.22,85.55,0,8,2.61,5.2
7.11,61.74,69.08,92.02,3.18,94,71.71,0,6,24.63,6.42
6.05,67.59,67.88,98.8,4.65,86.68,99.6,0,9,7.5,5.96
6.52,71.45,65.76,81.08,2,71.74,100,1,4,5.79,6.22
8.81,75.88,82.83,94.45,4.17,96.34,80.99,1,4,6.8,7.98
5.39,44.73,56.98,74.2,3.41,95.24,77.93,0,5,2.91,5.1
7.66,66.6,67.33,90.47,0.78,85.41,77.85,0,10,0.53,6.76
7.65,77.47,81.67,88.68,5.35,94.3,83.63,2,1,12.12,6.5
7.4,66.85,75.84,81.59,5.16,83.77,90.32,0,7,6.67,6.83
7.66,81.93,76.68,81,7.02,83.54,76.43,0,5,0.59,7.57
4.82,49.5,62.02,97.79,2.05,89.82,92.2,0,7,7.11,4.85
6.53,69.39,72.15,91.3,6.66,77.62,84.22,0,6,17.27,6.45
9.35,74.45,74.4,73.52,0.5,78.91,87.98,1,1,13.24,7.42
6.06,56.29,60.47,100,4.21,83.1,83.99,0,4,25.96,6.3
9.5,84.13,86.16,94.13,8.45,94.29,69.68,0,1,4.08,8.68
5.81,55.79,64.51,98.92,4.44,83.3,89.78,0,2,3.36,6.03
5.67,57.68,60.28,87.16,3.03,91.7,95.29,0,9,10.91,5.63
6.36,62.02,61.47,100,4.33,100,100,0,3,4.51,6.39
8.85,83.57,80.51,100,6.2,92.04,84.81,0,4,4.07,7.97
